"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Hannoun D.; Tietjen T.","Hannoun, Deena (57864787900); Tietjen, Todd (6602690210)","57864787900; 6602690210","Lake management under severe drought: Lake Mead, Nevada/Arizona","2023","Journal of the American Water Resources Association","59","2","","416","428","12","0","10.1111/1752-1688.13090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143987759&doi=10.1111%2f1752-1688.13090&partnerID=40&md5=215bfa238b7c5066e01585dbaa777279","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143987759"
"Nemati M.; Schwabe K.","Nemati, Mehdi (57200689444); Schwabe, Kurt (7006631474)","57200689444; 7006631474","Re-examining the water affordability: A comparison of alternative measures","2023","Journal of the American Water Resources Association","59","2","","356","375","19","0","10.1111/1752-1688.13091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143988728&doi=10.1111%2f1752-1688.13091&partnerID=40&md5=1bcf99a545cd8450d8f309d355a88f1e","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85143988728"
"Niroula S.; Wallington K.; Cai X.","Niroula, Sundar (57201587791); Wallington, Kevin (57197760956); Cai, Ximing (7401847849)","57201587791; 57197760956; 7401847849","Addressing data challenges in riverine nutrient load modeling of an intensively managed agro-industrial watershed","2023","Journal of the American Water Resources Association","59","2","","213","225","12","1","10.1111/1752-1688.13097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145671573&doi=10.1111%2f1752-1688.13097&partnerID=40&md5=64c957c7ff1e31ae165beaf3d1867a40","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85145671573"
"Ibrahim H.D.; Wuebbles D.J.","Ibrahim, Hamed D. (57211190311); Wuebbles, Donald J. (7006630889)","57211190311; 7006630889","Flooding and the interannual variability of hydrologic quantities in the Missouri River basin","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150651667&doi=10.1111%2f1752-1688.13117&partnerID=40&md5=581a620b577d5965bc7b3849e7ec6d46","John Wiley and Sons Inc","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85150651667"
"Butkus M.A.; Malinowski J.C.","Butkus, Michael A. (6601974494); Malinowski, Jon C. (57929588600)","6601974494; 57929588600","The long iron line: Water resources development at the United States Military Academy, West Point (1802–1943)","2023","Journal of the American Water Resources Association","59","1","","197","211","14","0","10.1111/1752-1688.13071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139949865&doi=10.1111%2f1752-1688.13071&partnerID=40&md5=4dec6edd6cad5e9ff2690ff9aad3a49b","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85139949865"
"Kalman N.; Pinter N.; Schaefer K.","Kalman, Naomi (57966504600); Pinter, Nicholas (6601934560); Schaefer, Kathleen (51462028700)","57966504600; 6601934560; 51462028700","Assessing flood mitigation, management, and enforcement using insurance data, California and the USA","2023","Journal of the American Water Resources Association","59","2","","338","355","17","0","10.1111/1752-1688.13078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141975114&doi=10.1111%2f1752-1688.13078&partnerID=40&md5=c5f01f019cc60467d5bf0bf07409ab54","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85141975114"
"Balcerzak A.M.; Smiley P.C., Jr.; Kalcic M.M.","Balcerzak, Ashlee M. (57889939300); Smiley, Peter C. (10640870600); Kalcic, Margaret M. (55292960400)","57889939300; 10640870600; 55292960400","Evaluating the Effects of Riparian Habitat Type on Nutrient Concentrations in Agricultural Headwater Streams","2022","Journal of the American Water Resources Association","58","6","","1497","1509","12","0","10.1111/1752-1688.13052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137984607&doi=10.1111%2f1752-1688.13052&partnerID=40&md5=8a5d5b6f6e8b28c3d78466ef7451571f","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85137984607"
"Keefer L.L.","Keefer, Laura L. (8140474900)","8140474900","Featured collection introduction: Water resources planning and management under changing conditions—Experience of Illinois","2023","Journal of the American Water Resources Association","59","3","","447","448","1","0","10.1111/1752-1688.13139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161258913&doi=10.1111%2f1752-1688.13139&partnerID=40&md5=1da665add650ec63f4ba7bebc7ab5d61","John Wiley and Sons Inc","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85161258913"
"Shin S.; Her Y.; Khare Y.","Shin, Satbyeol (57197856820); Her, Younggu (56641063800); Khare, Yogesh (55352255800)","57197856820; 56641063800; 55352255800","Evaluation of impacts of climate change on natural and managed wetland basins","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163095953&doi=10.1111%2f1752-1688.13140&partnerID=40&md5=6196573b36925a4a6802d7e8853ae950","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85163095953"
"Cullen C.; Abrams D.B.; Mannix D.H.; Kelly W.R.","Cullen, Cecilia (57224090676); Abrams, Daniel B. (36616869500); Mannix, Devin H. (57194492849); Kelly, Walton R. (55557603200)","57224090676; 36616869500; 57194492849; 55557603200","Calibrating a model to 30 years of data to capture the accumulation of chloride from winter deicers in a shallow aquifer","2023","Journal of the American Water Resources Association","59","3","","539","553","14","0","10.1111/1752-1688.13105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147593892&doi=10.1111%2f1752-1688.13105&partnerID=40&md5=e5c77476575a9ce2c4c7b42741ccb298","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85147593892"
