"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Yu M.; Xing L.; Wang L.; Zhang F.; Xing X.; Li C.","Yu, Miao (57218139946); Xing, Liting (34878169400); Wang, Liyan (57875639000); Zhang, Fengjuan (57226025196); Xing, Xuerui (57206663647); Li, Changsuo (55781501700)","57218139946; 34878169400; 57875639000; 57226025196; 57206663647; 55781501700","An improved multifractal detrended fluctuation analysis method for estimating the dynamic complexity of electrical conductivity of karst springs","2023","Journal of Hydroinformatics","25","2","","174","190","16","0","10.2166/hydro.2023.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158122486&doi=10.2166%2fhydro.2023.043&partnerID=40&md5=eb15ddf6444bdbcede16c94aeada01b4","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158122486"
"Daher A.; Al Sakka H.; Chaaban A.K.","Daher, Ali (57220944014); Al Sakka, Hassan (35755270400); Chaaban, Alain Khaled (58154057600)","57220944014; 35755270400; 58154057600","Low complexity single-layer neural network for enhanced rainfall estimation using microwave links","2023","Journal of Hydroinformatics","25","1","","101","112","11","0","10.2166/hydro.2022.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150734936&doi=10.2166%2fhydro.2022.099&partnerID=40&md5=8044b356831fa1abcaa213e8c2ce6e72","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150734936"
"Ahmed W.M.; Li S.S.; Ramamurthy A.S.","Ahmed, Warda M. (57212518952); Li, S. Samuel (35305191500); Ramamurthy, Amruthur S. (55666153700)","57212518952; 35305191500; 55666153700","Discharge of a siphon spillway under submerged exit condition","2023","Journal of Hydroinformatics","25","2","","332","348","16","0","10.2166/hydro.2023.109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158101824&doi=10.2166%2fhydro.2023.109&partnerID=40&md5=7c32224a408140a67582e39cab31c869","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158101824"
"Mo T.; Li S.; Li G.","Mo, Tiexiang (57876417100); Li, Shanshan (57196099910); Li, Guodong (58537400000)","57876417100; 57196099910; 58537400000","An interpretable machine learning model for predicting cavity water depth and cavity length based on XGBoost–SHAP","2023","Journal of Hydroinformatics","25","4","","1488","1500","12","0","10.2166/hydro.2023.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167969858&doi=10.2166%2fhydro.2023.050&partnerID=40&md5=0da4f6dd26c6212a69ff0d38fe34f8de","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167969858"
"Xu Z.; Gong Z.; Cheng H.; Cheng J.","Xu, Zuping (58418348700); Gong, Zhihao (57209335300); Cheng, Haomiao (56681555000); Cheng, Jilin (8426486400)","58418348700; 57209335300; 56681555000; 8426486400","Optimal water allocation integrated with water supply, replenishment, and spill in the in-series reservoir based on an improved decomposition and dynamic programming aggregation method","2023","Journal of Hydroinformatics","25","3","","","","","0","10.2166/hydro.2023.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163803598&doi=10.2166%2fhydro.2023.208&partnerID=40&md5=b9439d088acbd5f1139eb1beb70748bd","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163803598"
"Xu D.-M.; Wang X.; Wang W.-C.; Chau K.-W.; Zang H.-F.","Xu, Dong-Mei (55683672100); Wang, Xiang (58418348800); Wang, Wen-Chuan (55713538200); Chau, Kwok-Wing (7202674661); Zang, Hong-Fei (58104595900)","55683672100; 58418348800; 55713538200; 7202674661; 58104595900","Improved monthly runoff time series prediction using the SOA–SVM model based on ICEEMDAN–WD decomposition","2023","Journal of Hydroinformatics","25","3","","943","970","27","0","10.2166/hydro.2023.172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163840781&doi=10.2166%2fhydro.2023.172&partnerID=40&md5=bba56f758c0be75bcf93363e388034fb","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163840781"
"Tzimopoulos C.; Papadopoulos K.; Papadopoulos B.; Samarinas N.; Evangelides C.","Tzimopoulos, Christos (7004012753); Papadopoulos, Kyriakos (35788216800); Papadopoulos, Basil (7003614199); Samarinas, Nikiforos (57201990904); Evangelides, Christos (6505604689)","7004012753; 35788216800; 7003614199; 57201990904; 6505604689","Fuzzy solution of nonlinear Boussinesq equation","2022","Journal of Hydroinformatics","24","6","","1127","1147","20","2","10.2166/hydro.2022.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145724078&doi=10.2166%2fhydro.2022.026&partnerID=40&md5=1ab9ab514e29fcc70141dc0e9e0528bc","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145724078"
"Koue J.; Shimadera H.; Matsuo T.; Kondo A.","Koue, Jinichi (57200201987); Shimadera, Hikari (34168355400); Matsuo, Tomohito (56697806700); Kondo, Akira (24466540100)","57200201987; 34168355400; 56697806700; 24466540100","Analysis of the effects of climate change on the gyre in Lake Biwa, Japan","2023","Journal of Hydroinformatics","25","2","","243","257","14","0","10.2166/hydro.2023.075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158097994&doi=10.2166%2fhydro.2023.075&partnerID=40&md5=9c21c974a012b0e309f0e17695b8683c","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158097994"
"Zhou L.; Qiao Y.; Zhang Z.; Han Z.; Lei X.; Qin Y.; Wang H.","Zhou, Luyan (57782815200); Qiao, Yu (57208796360); Zhang, Zhao (57193280486); Han, Zhongkai (58418348900); Lei, Xiaohui (15760501200); Qin, Yufeng (58419018100); Wang, Hao (36619287400)","57782815200; 57208796360; 57193280486; 58418348900; 15760501200; 58419018100; 36619287400","Development of a novel outlier index for real-time detection of water level outliers for open-channel water transfer projects","2023","Journal of Hydroinformatics","25","3","","1072","1083","11","0","10.2166/hydro.2023.227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163858117&doi=10.2166%2fhydro.2023.227&partnerID=40&md5=9630df8dda0190ce3ea999609db53c8e","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163858117"
"Devi R.R.; Chattopadhyay S.","Devi, Rashmi Rekha (57800611600); Chattopadhyay, Surajit (35475366000)","57800611600; 35475366000","An information-theoretic study of rainfall time series through the Dempster–Shafer approach over a meteorological subdivision of India","2022","Journal of Hydroinformatics","24","6","","1269","1280","11","1","10.2166/hydro.2022.192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145719841&doi=10.2166%2fhydro.2022.192&partnerID=40&md5=8ce7629fcde1b16ba16601a028db5d6e","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145719841"
