"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Silva G.M.E.; Oliveira T.H.; Carvalho R.S.; Fialho H.C.P.; Souza F.A.A.D.; Mendiondo E.M.; Ghiglieno F.","Silva, Gabriel Marinho E (57652277200); Oliveira, Tassiana Halmenschlager (57213336798); Carvalho, Rafael Santos (57659221000); Fialho, Hailton Cesar Pimentel (57324505600); Souza, Felipe Augusto Arguello De (57216135240); Mendiondo, Eduardo Mario (7801402127); Ghiglieno, Filippo (7801414446)","57652277200; 57213336798; 57659221000; 57324505600; 57216135240; 7801402127; 7801414446","Assessing the Impact of SARS-CoV-2 on Water Consumption in São Paulo State, Brazil","2022","Journal of Water Resources Planning and Management","148","11","04022055","","","","1","10.1061/(ASCE)WR.1943-5452.0001606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137109337&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001606&partnerID=40&md5=180927c206f089668c519c6cf697afdf","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85137109337"
"Ayati A.H.; Haghighi A.","Ayati, Amir Houshang (57185500100); Haghighi, Ali (30467660000)","57185500100; 30467660000","Multiobjective Wrapper Sampling Design for Leak Detection of Pipe Networks Based on Machine Learning and Transient Methods","2023","Journal of Water Resources Planning and Management","149","2","04022076","","","","0","10.1061/JWRMD5.WRENG-5620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142540427&doi=10.1061%2fJWRMD5.WRENG-5620&partnerID=40&md5=ea462aefc8253e233328e4f85758f6f3","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85142540427"
"Basnet L.; Brill D.; Ranjithan R.; Mahinthakumar K.","Basnet, Lochan (58294580600); Brill, Downey (58293804200); Ranjithan, Ranji (57000658900); Mahinthakumar, Kumar (6602708612)","58294580600; 58293804200; 57000658900; 6602708612","Supervised Machine Learning Approaches for Leak Localization in Water Distribution Systems: Impact of Complexities of Leak Characteristics","2023","Journal of Water Resources Planning and Management","149","8","04023032","","","","0","10.1061/JWRMD5.WRENG-6047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160522416&doi=10.1061%2fJWRMD5.WRENG-6047&partnerID=40&md5=e05511bab115134871d8c6aa4967e5dd","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85160522416"
"Fernández García I.; Perea R.G.; Rodríguez Díaz J.A.","Fernández García, Irene (55617503300); Perea, Rafael Gonzalez (56018901200); Rodríguez Díaz, Juan Antonio (8551332200)","55617503300; 56018901200; 8551332200","New Model for Determining Optimal PAT Locations: Maximizing Energy Recovery in Irrigation Networks","2022","Journal of Water Resources Planning and Management","148","11","04022054","","","","1","10.1061/(ASCE)WR.1943-5452.0001605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137087468&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001605&partnerID=40&md5=f743bc452abf401654735566b4ab8324","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85137087468"
"Cui C.; Dong Z.; Luo Y.; Han Y.; Zhang T.","Cui, Can (58172333800); Dong, Zengchuan (23089899000); Luo, Yun (57210322756); Han, Yalei (57221869741); Zhang, Tianyan (57211444656)","58172333800; 23089899000; 57210322756; 57221869741; 57211444656","Lake Impoundment in Advance of Post-Flood Period Based on Large-Scale Numerical Simulation","2023","Journal of Water Resources Planning and Management","149","8","05023004","","","","0","10.1061/JWRMD5.WRENG-5811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160616938&doi=10.1061%2fJWRMD5.WRENG-5811&partnerID=40&md5=54137ebb53a9435d6164b89e0aeb43cc","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160616938"
"Chakraborty A.; Prakash O.","Chakraborty, Anirban (56437240100); Prakash, Om (57773872700)","56437240100; 57773872700","Identification of Clandestine Groundwater Pollution Sources in Aquifer Polluted with BTEX","2023","Journal of Water Resources Planning and Management","149","2","04022080","","","","0","10.1061/JWRMD5.WRENG-5078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142930127&doi=10.1061%2fJWRMD5.WRENG-5078&partnerID=40&md5=9d2b08bab4c78b15d9086db81d7c88ab","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85142930127"
"Helseth A.; Melo A.C.G.; Ploussard Q.M.; Mo B.; Maceira M.E.P.; Botterud A.; Voisin N.","Helseth, Arild (24437969200); Melo, Albert C. G. (7102137965); Ploussard, Quentin M. (57194653469); Mo, Birger (7007052329); Maceira, Maria E. P. (8383876100); Botterud, Audun (23011593900); Voisin, Nathalie (6507150303)","24437969200; 7102137965; 57194653469; 7007052329; 8383876100; 23011593900; 6507150303","Hydropower Scheduling Toolchains: Comparing Experiences in Brazil, Norway, and USA and Implications for Synergistic Research","2023","Journal of Water Resources Planning and Management","149","7","04023030","","","","0","10.1061/JWRMD5.WRENG-5911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159955902&doi=10.1061%2fJWRMD5.WRENG-5911&partnerID=40&md5=8073448dfc323138d50378a4e36727b4","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85159955902"
"Ma X.; Li Y.; Zhang W.; Li X.; Shi Z.; Yu J.; Wang J.; Liu J.","Ma, Xiaoyu (57929597200); Li, Yalin (57204555492); Zhang, Weiping (57193319887); Li, Xiujuan (57203866456); Shi, Zhiman (57929597300); Yu, Junfeng (57202905780); Wang, Jiangxia (57211092430); Liu, Jingqing (26662761400)","57929597200; 57204555492; 57193319887; 57203866456; 57929597300; 57202905780; 57211092430; 26662761400","A Real-Time Method to Detect the Leakage Location in Urban Water Distribution Networks","2022","Journal of Water Resources Planning and Management","148","12","04022069","","","","4","10.1061/(ASCE)WR.1943-5452.0001628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139932069&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001628&partnerID=40&md5=601d833612b4e56dbd6d9148bd8206f1","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85139932069"
"Richter B.D.","Richter, Brian D. (7101774925)","7101774925","Decoupling Urban Water Use from Population Growth in the Colorado River Basin","2023","Journal of Water Resources Planning and Management","149","2","04022082","","","","1","10.1061/JWRMD5.WRENG-5887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144157535&doi=10.1061%2fJWRMD5.WRENG-5887&partnerID=40&md5=8c64ea23fda8b9ac5ca8c59df94d74b3","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85144157535"
"Bonazzi Sodek D.; Martim A.L.S.S.; Filho J.G.D.; Luvizotto E.","Bonazzi Sodek, Daniela (57927802400); Martim, André Luís Sotero Salustiano (57210377117); Filho, José Gilberto Dalfré (55347249800); Luvizotto, Edevar (6505901432)","57927802400; 57210377117; 55347249800; 6505901432","Pressure Reduction for Water Loss Management: A Statistical Evaluation of Water Consumption Considering Customer Storage Tanks","2022","Journal of Water Resources Planning and Management","148","12","06022004","","","","1","10.1061/(ASCE)WR.1943-5452.0001627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139822893&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001627&partnerID=40&md5=a411e4cbc133290046b30a9a9b8723f3","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85139822893"
