Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rapp, A.H., Capener, A.M., Sowby, R.B.",58260844200;58170655900;56736830000;,Adoption of Artificial Intelligence in Drinking Water Operations: A Survey of Progress in the United States,2023,Journal of Water Resources Planning and Management,149,7,6023002,,,,,10.1061/JWRMD5.WRENG-5870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159679829&doi=10.1061%2fJWRMD5.WRENG-5870&partnerID=40&md5=7babcacbe16c84962200192db7b00f58,Article,Final,,Scopus,2-s2.0-85159679829
"Gong, J., Do, N.C., Lambert, M.F., Stephens, M.L., Cazzolato, B.S.",55355613100;55837383300;24923543300;8706283400;6603538173;,Enhancing Pipe-Break Early Warning in Smart Water Networks: Distinguishing Leaks from Water Uses,2023,Journal of Water Resources Planning and Management,149,7,6023003,,,,,10.1061/JWRMD5.WRENG-6118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159647843&doi=10.1061%2fJWRMD5.WRENG-6118&partnerID=40&md5=784ae1644465bc43c7fc5168bd362229,Article,Final,,Scopus,2-s2.0-85159647843
"Wang, J., Rosenberg, D.E.",57728303400;8577634300;,Adapting Colorado River Basin Depletions to Available Water to Live within Our Means,2023,Journal of Water Resources Planning and Management,149,7,4023026,,,,,10.1061/JWRMD5.WRENG-5555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159486755&doi=10.1061%2fJWRMD5.WRENG-5555&partnerID=40&md5=46bc7ec4e71aa1b5df891c9d86890ac6,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85159486755
"Wang, L., Xin, Z., Xu, B., Chen, X., Zheng, Y., Zhang, J., Zhang, C.",57204202519;57201682593;57194513328;57202463319;56409084200;55870841600;55862061100;,Impacts of Reservoir Operation on Hydrodynamic and Thermal Conditions in a Large Deep Reservoir and the Potential Ecological Impacts,2023,Journal of Water Resources Planning and Management,149,7,4023028,,,,,10.1061/JWRMD5.WRENG-5688,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159417428&doi=10.1061%2fJWRMD5.WRENG-5688&partnerID=40&md5=4247b74bf61d9fdc1e299a87102de5f6,Article,Final,,Scopus,2-s2.0-85159417428
"Meng, W., Wan, W., Wang, Z., Zhao, J.",57553040100;57189871306;56268839500;7410314498;,Physical and Economic Determinants on Forecast Horizon for Long-Term Reservoir Operation,2023,Journal of Water Resources Planning and Management,149,7,4023027,,,,,10.1061/JWRMD5.WRENG-5973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159395865&doi=10.1061%2fJWRMD5.WRENG-5973&partnerID=40&md5=f499b12a9e61bc550a50a63dab004089,Article,Final,,Scopus,2-s2.0-85159395865
"Attallah, N.A., Horsburgh, J.S., Bastidas Pacheco, C.J.",57207033099;22985191200;57217671347;,"An Open-Source, Semisupervised Water End-Use Disaggregation and Classification Tool",2023,Journal of Water Resources Planning and Management,149,7,4023024,,,,,10.1061/JWRMD5.WRENG-5444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159107223&doi=10.1061%2fJWRMD5.WRENG-5444&partnerID=40&md5=3be26ece83381d87f43209fe71c73307,Article,Final,,Scopus,2-s2.0-85159107223
"Cao, R., Feng, P., Han, Y., Liu, Z., Huang, X., Li, F.",56818473300;55638059500;8861913200;35210594800;57211002555;18234145800;,A Flood-Attenuating Impervious Surface Layout Planning Framework: Integrated Storm Water Management Model with Harmony Search,2023,Journal of Water Resources Planning and Management,149,7,4023025,,,,,10.1061/JWRMD5.WRENG-5988,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159064377&doi=10.1061%2fJWRMD5.WRENG-5988&partnerID=40&md5=3a6dc36400d74917b78229d4e5cdbdcc,Article,Final,,Scopus,2-s2.0-85159064377
"Liu, W., Guan, G., Tian, X., Cao, Z., Chen, X.",57346241700;8943546300;55816681900;58073255800;57221568523;,Exploiting a Real-Time Self-Correcting Digital Twin Model for the Middle Route of the South-to-North Water Diversion Project of China,2023,Journal of Water Resources Planning and Management,149,7,4023023,,,,,10.1061/JWRMD5.WRENG-5965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156247019&doi=10.1061%2fJWRMD5.WRENG-5965&partnerID=40&md5=08586fdfa6323468148971edc647d11f,Article,Final,,Scopus,2-s2.0-85156247019
"Lai, C.H., Zhao, J.",57208444157;7410314498;,"Decomposing the Institutional Structure of Interstate River Basins Using Institutional Grammar, Institutional Analysis, and Development Framework",2023,Journal of Water Resources Planning and Management,149,7,4023022,,,,,10.1061/JWRMD5.WRENG-5966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154070706&doi=10.1061%2fJWRMD5.WRENG-5966&partnerID=40&md5=3767cdf6368daa848e74c0bd73b0e0e3,Article,Final,,Scopus,2-s2.0-85154070706
"Ma, C., Liu, Z., He, W., Zhang, Y., Jiang, A., Zhang, J., Lian, J.",35751178100;57358889500;57191499732;57219098615;57222660473;55901949800;55450092500;,Reliability of Emergency Water Supply for a Reservoir and Enhancement through Floating Photovoltaics in a Long-Distance Water Diversion Project,2023,Journal of Water Resources Planning and Management,149,7,4023021,,,,,10.1061/JWRMD5.WRENG-5812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153515858&doi=10.1061%2fJWRMD5.WRENG-5812&partnerID=40&md5=9dda86434ac4e144d3611e89322081a4,Article,Final,,Scopus,2-s2.0-85153515858
