"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Song W.; Shi L.; Hu X.; Wang Y.; Wang L.","Song, Wenxiang (57865221600); Shi, Liangsheng (9237930900); Hu, Xiaolong (57192316749); Wang, Yanling (57216590565); Wang, Lijun (57865221700)","57865221600; 9237930900; 57192316749; 57216590565; 57865221700","Reconstructing the Unsaturated Flow Equation From Sparse and Noisy Data: Leveraging the Synergy of Group Sparsity and Physics-Informed Deep Learning","2023","Water Resources Research","59","5","e2022WR034122","","","","0","10.1029/2022WR034122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160426574&doi=10.1029%2f2022WR034122&partnerID=40&md5=b6d950cd363964d497ef7a06a9086be5","Article","Final","","Scopus","2-s2.0-85160426574"
"Prieto-Estrada A.E.; Widdowson M.A.; Stewart L.D.","Prieto-Estrada, Andres E. (57201679734); Widdowson, Mark A. (7006622756); Stewart, Lloyd D. (57095436800)","57201679734; 7006622756; 57095436800","Numerical Modeling and Data-Worth Analysis for Characterizing the Architecture and Dissolution Rates of a Multicomponent DNAPL Source","2023","Water Resources Research","59","5","e2022WR034351","","","","0","10.1029/2022WR034351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160403212&doi=10.1029%2f2022WR034351&partnerID=40&md5=fa4de9ee2ecf5687596f6583be85d161","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160403212"
"Giudici L.M.; Qaseminejad Raeini A.; Blunt M.J.; Bijeljic B.","Giudici, Luke M. (57669007800); Qaseminejad Raeini, A. (57208800266); Blunt, Martin J. (7005204147); Bijeljic, Branko (6602886182)","57669007800; 57208800266; 7005204147; 6602886182","Representation of Fully Three-Dimensional Interfacial Curvature in Pore-Network Models","2023","Water Resources Research","59","4","e2022WR033983","","","","1","10.1029/2022WR033983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151321525&doi=10.1029%2f2022WR033983&partnerID=40&md5=31fa0ecebfd7005fce3a4cd6393234c3","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151321525"
"Seibert S.L.; Greskowiak J.; Bungenstock F.; Freund H.; Karle M.; Meyer R.; Oude Essink G.H.P.; van Engelen J.; Massmann G.","Seibert, Stephan L. (57195951937); Greskowiak, Janek (9633668700); Bungenstock, Friederike (15838761000); Freund, Holger (7202183828); Karle, Martina (57193715331); Meyer, Rena (55451214500); Oude Essink, Gualbert H. P. (6603116881); van Engelen, Joeri (57091020100); Massmann, Gudrun (6603618766)","57195951937; 9633668700; 15838761000; 7202183828; 57193715331; 55451214500; 6603116881; 57091020100; 6603618766","Paleo-Hydrogeological Modeling to Understand Present-Day Groundwater Salinities in a Low-Lying Coastal Groundwater System (Northwestern Germany)","2023","Water Resources Research","59","4","e2022WR033151","","","","1","10.1029/2022WR033151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153872096&doi=10.1029%2f2022WR033151&partnerID=40&md5=952548ee59246e671f79cbfb267fda7d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153872096"
"Yang X.; Tetzlaff D.; Müller C.; Knöller K.; Borchardt D.; Soulsby C.","Yang, Xiaoqiang (57201989899); Tetzlaff, Doerthe (9038954000); Müller, Christin (56909270200); Knöller, Kay (6603012146); Borchardt, Dietrich (7004876784); Soulsby, Chris (7005620600)","57201989899; 9038954000; 56909270200; 6603012146; 7004876784; 7005620600","Upscaling Tracer-Aided Ecohydrological Modeling to Larger Catchments: Implications for Process Representation and Heterogeneity in Landscape Organization","2023","Water Resources Research","59","3","e2022WR033033","","","","1","10.1029/2022WR033033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153032940&doi=10.1029%2f2022WR033033&partnerID=40&md5=337549ef5055788fc37ad229dc776494","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153032940"
"Ao Y.Z.; Bakar Siddik M.A.; Konar M.; Marston L.T.","Ao, Yufei Zoe (57201674404); Bakar Siddik, Md Abu (57207861355); Konar, Megan (36623797700); Marston, Landon T. (56414585200)","57201674404; 57207861355; 36623797700; 56414585200","Food, Energy, and Water Production Within Watersheds of the United States","2023","Water Resources Research","59","5","e2022WR034031","","","","0","10.1029/2022WR034031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160407378&doi=10.1029%2f2022WR034031&partnerID=40&md5=c1eea29b4609d605c7c74da9f599816b","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160407378"
"Tangi M.; Bizzi S.; Schmitt R.; Castelletti A.","Tangi, M. (57210158644); Bizzi, S. (50861158200); Schmitt, R. (56094830000); Castelletti, A. (6504550849)","57210158644; 50861158200; 56094830000; 6504550849","Balancing Sediment Connectivity and Energy Production via Optimized Reservoir Sediment Management Strategies","2023","Water Resources Research","59","6","e2022WR034033","","","","0","10.1029/2022WR034033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162084856&doi=10.1029%2f2022WR034033&partnerID=40&md5=9fd6ef28dc9c2f7f67054125b3d03fc2","Article","Final","","Scopus","2-s2.0-85162084856"
"Kim B.; Seo I.W.; Kwon S.; Baek D.","Kim, Byunguk (57221703352); Seo, Il Won (23161710900); Kwon, Siyoon (57221588218); Baek, Donghae (57202136569)","57221703352; 23161710900; 57221588218; 57202136569","Estimating Net Retention Time of Solute in Storage Zones of a Stream","2023","Water Resources Research","59","5","e2022WR032243","","","","0","10.1029/2022WR032243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160418439&doi=10.1029%2f2022WR032243&partnerID=40&md5=bcf9fe5117c70d1d6081f09260c0419c","Article","Final","","Scopus","2-s2.0-85160418439"
"Jenckes J.; Munk L.A.; Ibarra D.E.; Boutt D.F.; Fellman J.; Hood E.","Jenckes, J. (57222632084); Munk, L.A. (6701529315); Ibarra, D.E. (55212959400); Boutt, D.F. (7801375879); Fellman, J. (17345888800); Hood, E. (57205866217)","57222632084; 6701529315; 55212959400; 7801375879; 17345888800; 57205866217","Hydroclimate Drives Seasonal Riverine Export Across a Gradient of Glacierized High-Latitude Coastal Catchments","2023","Water Resources Research","59","4","e2022WR033305","","","","0","10.1029/2022WR033305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153860827&doi=10.1029%2f2022WR033305&partnerID=40&md5=8022f26b5691575047f95825a2ebb079","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153860827"
"Sandhu G.; Weber O.; Wood M.O.; Rus H.A.; Thistlethwaite J.","Sandhu, Guneet (57211793575); Weber, Olaf (7004486571); Wood, Michael O. (55945769600); Rus, Horatiu A. (24462076600); Thistlethwaite, Jason (55043742800)","57211793575; 7004486571; 55945769600; 24462076600; 55043742800","An Interdisciplinary Water Risk Assessment Framework for Sustainable Water Management in Ontario, Canada","2023","Water Resources Research","59","5","e2022WR032959","","","","0","10.1029/2022WR032959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160451265&doi=10.1029%2f2022WR032959&partnerID=40&md5=088b4fb0bc71ade98d334a597d5121c3","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160451265"
